2017-02-23 10:01:28,231 [Worker-3] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-02-23 10:29:40,148 [Worker-3] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-03-13 20:38:19,335 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2017-03-13 20:41:14,850 [Worker-3] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-03-28 10:48:08,078 [main] INFO  org.eclipse.jetty.util.log - Logging initialized @22701104ms
2017-03-28 10:48:08,305 [main] INFO  org.eclipse.jetty.server.Server - jetty-9.3.9.v20160517
2017-03-28 10:48:08,379 [main] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@3e28973a{/wse,null,AVAILABLE}
2017-03-28 10:48:08,393 [main] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@7f123f36{HTTP/1.1,[http/1.1]}{0.0.0.0:56328}
2017-03-28 10:48:08,393 [main] INFO  org.eclipse.jetty.server.Server - Started @22701427ms
2017-03-28 16:45:24,129 [Framework stop] INFO  o.e.jetty.server.AbstractConnector - Stopped ServerConnector@7f123f36{HTTP/1.1,[http/1.1]}{0.0.0.0:0}
2017-03-28 16:45:24,246 [Framework stop] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@3e28973a{/wse,null,UNAVAILABLE}
2017-03-30 09:50:06,166 [Worker-367] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/glassfish/jersey/jersey-bom/2.25.1/jersey-bom-2.25.1.pom
2017-03-30 09:50:06,245 [Worker-367] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/glassfish/jersey/jersey-bom/2.25.1/jersey-bom-2.25.1.pom
2017-03-30 09:50:06,311 [Worker-367] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/net/java/jvnet-parent/4/jvnet-parent-4.pom
2017-03-30 09:50:06,381 [Worker-367] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/net/java/jvnet-parent/4/jvnet-parent-4.pom
2017-03-30 09:50:06,546 [Worker-363] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/net/java/jvnet-parent/4/jvnet-parent-4.pom
2017-03-30 09:50:06,616 [Worker-363] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/net/java/jvnet-parent/4/jvnet-parent-4.pom
2017-03-30 09:50:07,126 [Worker-363] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-clean-plugin/2.5/maven-clean-plugin-2.5.jar
2017-03-30 09:50:07,204 [Worker-363] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-clean-plugin/2.5/maven-clean-plugin-2.5.jar
2017-03-30 09:50:07,330 [Worker-363] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-resources-plugin/2.6/maven-resources-plugin-2.6.jar
2017-03-30 09:50:07,403 [Worker-363] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-resources-plugin/2.6/maven-resources-plugin-2.6.jar
